,names,ratings,cost,dish,deliveryin_min,order
13,Muthashy's,4.1,₹100 for one,"Kerala, South Indian, Chinese, Sichuan",30 min,14025+ orders placed from here recently
14,Jose Mess,4.0,₹100 for one,"Kerala, South Indian, Biryani",23 min,3600+ orders placed from here recently
15,Shanthi Sagar,3.7,₹100 for one,"South Indian, North Indian, Chinese, Desserts, Beverages, Shake",24 min,1800+ orders placed from here recently
16,Nandhana Palace,3.9,₹100 for one,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",26 min,3675+ orders placed from here recently
17,Thalassery Restaurant,3.7,₹100 for one,"Arabian, Seafood, North Indian, South Indian, Chinese, Rolls, Fast Food, Beverages",35 min,3425+ orders placed from here recently
18,Kanti Sweets,4.5,₹100 for one,"Mithai, Desserts, Street Food",15 min,775+ orders placed from here recently
19,FreshMenu,3.6,₹250 for one,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",27 min,8475+ orders placed from here recently
20,MOJO Pizza - 2X Toppings,4.4,₹250 for one,"Pizza, Italian, Fast Food, Desserts, Beverages",30 min,1175+ orders placed from here recently
21,Beijing Bites,4.0,₹250 for one,"Chinese, Asian, Thai, Seafood, Malaysian",25 min,3125+ orders placed from here recently
22,Ovenstory Pizza,4.5,₹250 for one,"Pizza, Fast Food",35 min,1700+ orders placed from here recently
23,Behrouz Biryani,4.2,₹400 for one,"Biryani, Kebab, North Indian",25 min,875+ orders placed from here recently
24,Hyderabad Biryaani House,3.9,₹400 for one,"Biryani, North Indian, Chinese, Mughlai, Seafood, Beverages, Desserts",35 min,9125+ orders placed from here recently
25,NIC Ice Creams,4.5,₹400 for one,Ice Cream,16 min,2250+ orders placed from here recently
26,BOX8 - Desi Meals,4.3,₹400 for one,"North Indian, Biryani, Fast Food, Wraps, Ice Cream, Desserts, Beverages",30 min,1525+ orders placed from here recently
27,Dindigul Thalappakatti,4.0,₹300 for one,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",19 min,1875+ orders placed from here recently
28,Kapoor's Cafe,4.0,₹300 for one,"North Indian, Street Food, Desserts, Beverages",25 min,5000+ orders placed from here recently
29,Kabab Mehal,3.9,₹300 for one,"South Indian, North Indian, Chinese, Mughlai, Seafood, Street Food",42 min,8800+ orders placed from here recently
30,Narmada Chain of Restaurants,4.2,₹300 for one,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",35 min,8075+ orders placed from here recently
31,Biryani By Kilo,3.8,₹400 for one,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",70 min,2275+ orders placed from here recently
32,Ayodhya Upachar,4.1,₹400 for one,"South Indian, North Indian, Chinese",35 min,23600+ orders placed from here recently
33,Chulha Chauki Da Dhaba,4.1,₹400 for one,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",26 min,6250+ orders placed from here recently
34,Sardarji Londonwaley,3.7,₹400 for one,"North Indian, Chinese, Mughlai",37 min,7300+ orders placed from here recently
35,Punjabi Nawabi,3.6,₹200 for one,"North Indian, Biryani, Mughlai, Chinese, Kebab",35 min,4375+ orders placed from here recently
36,Roti Ghar,4.0,₹200 for one,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages",31 min,8650+ orders placed from here recently
37,Meghduth Biryanis,3.6,₹200 for one,"Biryani, South Indian",25 min,2800+ orders placed from here recently
38,New Udupi Grand,4.0,₹200 for one,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake",42 min,8200+ orders placed from here recently
39,Theobroma,4.3,₹150 for one,"Bakery, Desserts, Beverages",16 min,4175+ orders placed from here recently
40,Biryani Square,3.6,₹150 for one,"Mughlai, North Indian",37 min,1350+ orders placed from here recently
41,Pathaan Sir,3.4,₹150 for one,Rolls,27 min,1000+ orders placed from here recently
42,LunchBox - Meals and Thalis,3.9,₹150 for one,North Indian,24 min,675+ orders placed from here recently
43,Great Indian Khichdi by EatFit,4.1,₹150 for one,"Healthy Food, South Indian",26 min,1900+ orders placed from here recently
44,Sai Prasadam,4.1,₹150 for one,"North Indian, South Indian, Street Food, Chinese",52 min,6200+ orders placed from here recently
45,Chai Point,4.0,₹150 for one,"Tea, Beverages, North Indian, Street Food, Fast Food, Desserts",22 min,1825+ orders placed from here recently
46,Szechuan Dragon,4.1,₹150 for one,"Chinese, Asian, Thai, Momos",31 min,7800+ orders placed from here recently
47,Roll N Rock,3.9,₹100 for one,"Chinese, North Indian, Rolls, Sichuan",30 min,1300+ orders placed from here recently
48,Asha Sweet Center,4.3,₹100 for one,"Mithai, Bakery, Desserts",20 min,2650+ orders placed from here recently
49,Pallavi North Indian Veg Restaurant,4.0,₹100 for one,"North Indian, Chinese, Sichuan",25 min,7250+ orders placed from here recently
50,Ambur Star Briyani ® Since 1890,3.9,₹100 for one,"Biryani, South Indian, Chinese, Chettinad, North Indian, Sichuan",29 min,11325+ orders placed from here recently
51,Beyond The Crust - BTC,4.0,₹250 for one,"Pizza, Fast Food, Desserts",38 min,2900+ orders placed from here recently
52,Kolkata Famous Kati Roll,4.2,₹250 for one,Rolls,46 min,400+ orders placed from here recently
53,WOW! China,3.4,₹250 for one,"Chinese, Asian, Sichuan",36 min,950+ orders placed from here recently
54,Just Shawarma,3.7,₹250 for one,"Lebanese, Fast Food, Beverages",19 min,1975+ orders placed from here recently
55,Just Cakes,3.9,₹350 for one,"Bakery, Desserts",27 min,100+ orders placed from here recently
56,Aubree,4.2,₹350 for one,"Bakery, Desserts",21 min,1300+ orders placed from here recently
57,99 Varieties Dosa & Pav Bhaji,3.7,₹350 for one,South Indian,29 min,3200+ orders placed from here recently
58,99 Variety Dosa & Pav Bhaji,3.7,₹350 for one,"South Indian, Maharashtrian",42 min,3575+ orders placed from here recently
59,New Taj Darbar,3.4,₹100 for one,"North Indian, Chinese, Mughlai, Biryani",44 min,10375+ orders placed from here recently
60,Kailash Parbat,3.6,₹100 for one,"North Indian, Street Food, Beverages",41 min,1225+ orders placed from here recently
61,Brothers Biriyani,4.1,₹100 for one,"Biryani, South Indian",34 min,3200+ orders placed from here recently
62,Chef Bakers,3.4,₹100 for one,"Bakery, Fast Food, Pizza, Sandwich, Burger, Desserts",35 min,150+ orders placed from here recently
63,Ibaco,4.4,₹150 for one,"Ice Cream, Desserts",14 min,275+ orders placed from here recently
64,Krishna Kuteera,4.0,₹150 for one,"South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages, Desserts, Shake",48 min,7500+ orders placed from here recently
65,Rajdhani,4.0,₹150 for one,"Gujarati, North Indian, Rajasthani",26 min,2475+ orders placed from here recently
66,Hari Super Sandwich,4.0,₹150 for one,"Fast Food, Sandwich, Street Food",22 min,2050+ orders placed from here recently
67,Cream Stone Ice Cream,3.6,₹150 for one,"Ice Cream, Desserts, Beverages, Shake",33 min,450+ orders placed from here recently
68,The Cake Deluxe,4.1,₹150 for one,Bakery,33 min,1175+ orders placed from here recently
69,Krishnam Udupi Hotel,4.0,₹150 for one,"South Indian, North Indian, Street Food, Chinese, Fast Food, Desserts, Beverages, Shake",43 min,7975+ orders placed from here recently
70,Ghee And Turmeric,4.1,₹150 for one,North Indian,41 min,575+ orders placed from here recently
71,Cakewala,4.3,₹100 for one,"Bakery, Desserts",16 min,1675+ orders placed from here recently
72,Cupcake Bliss Cakes & Desserts,4.0,₹100 for one,"Bakery, Desserts",26 min,600+ orders placed from here recently
73,Chaat Street,3.9,₹100 for one,"Street Food, Fast Food, North Indian, Beverages",40 min,2675+ orders placed from here recently
74,Biryani Blues,4.1,₹100 for one,"Biryani, Kebab, Desserts, Hyderabadi, Beverages",38 min,1000+ orders placed from here recently
75,Sangam Sweets,4.1,₹100 for one,"Mithai, Street Food, Fast Food",23 min,1150+ orders placed from here recently
76,Mealful Rolls - India's Biggest Rolls,4.4,₹100 for one,"Rolls, Wraps, North Indian, Fast Food, Desserts, Beverages",30 min,300+ orders placed from here recently
77,Mughal Treat,3.9,₹100 for one,"North Indian, Mughlai, Biryani, Chinese, Rolls, Seafood, Arabian, Desserts",57 min,7525+ orders placed from here recently
78,SLV Corner Restaurant,4.3,₹100 for one,"South Indian, North Indian, Street Food, Chinese, Beverages, Desserts",31 min,7125+ orders placed from here recently
79,1947,3.6,₹300 for one,"North Indian, Beverages, Desserts",32 min,225+ orders placed from here recently
80,Mumbai Tiffin,4.4,₹300 for one,North Indian,53 min,12725+ orders placed from here recently
81,Sri Vishnu Park,3.9,₹300 for one,"South Indian, North Indian, Chinese, Biryani, Beverages, Desserts",36 min,4900+ orders placed from here recently
82,Fanoos Xprss,3.5,₹300 for one,"Rolls, Fast Food, North Indian",25 min,1025+ orders placed from here recently
83,B2H - Biryani 2 Home,3.8,₹200 for one,"Biryani, Mughlai, North Indian, Chinese, Kebab",33 min,2050+ orders placed from here recently
84,The Cake Chef,3.8,₹200 for one,"Bakery, Desserts",38 min,2700+ orders placed from here recently
85,True Cakes,4.1,₹200 for one,"Bakery, Desserts",25 min,2600+ orders placed from here recently
86,Sandwich Guru,4.0,₹200 for one,"Fast Food, Sandwich, Beverages, Ice Cream, Shake",24 min,675+ orders placed from here recently
87,Udupi Upahar,3.9,₹100 for one,"South Indian, North Indian, Chinese, Desserts, Beverages",40 min,5175+ orders placed from here recently
88,Biryani Pot,3.9,₹100 for one,"Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps, Sichuan",34 min,4750+ orders placed from here recently
89,HSR High Street,4.0,₹100 for one,"North Indian, Mughlai, Chinese, Biryani, Sichuan, Desserts",42 min,12100+ orders placed from here recently
90,Biryanis,3.8,₹100 for one,"Biryani, Andhra, Seafood, North Indian, Mughlai",44 min,975+ orders placed from here recently
91,Toscano,3.8,₹500 for one,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages",27 min,1600+ orders placed from here recently
92,Taj Hotel,3.9,₹500 for one,"Chinese, South Indian, North Indian, Mughlai",57 min,2775+ orders placed from here recently
93,Karnataka Bhel House,4.2,₹500 for one,"Street Food, Ice Cream",21 min,950+ orders placed from here recently
94,Hotel Revoli Inn,4.0,₹500 for one,"Chinese, North Indian, Mughlai",32 min,1300+ orders placed from here recently
95,Dum Biryani Adda,3.8,₹200 for one,Biryani,47 min,150+ orders placed from here recently
96,Home Plate by EatFit,3.7,₹200 for one,"Healthy Food, North Indian, Ice Cream, Desserts",27 min,975+ orders placed from here recently
97,Cake N Chef,3.9,₹200 for one,"Bakery, Desserts",29 min,1825+ orders placed from here recently
98,Third Wave Coffee,4.1,₹200 for one,"Cafe, Coffee, Tea, Fast Food, Pizza, Desserts",21 min,600+ orders placed from here recently
99,Sukh Sagar,3.2,₹200 for one,"Chinese, North Indian, Street Food, Ice Cream, Shake, Beverages",28 min,75+ orders placed from here recently
100,Magnolia Bakery,4.3,₹200 for one,"Bakery, Desserts, Beverages",39 min,1150+ orders placed from here recently
101,Kolkata Durbar,3.7,₹200 for one,"Biryani, Rolls, Mughlai, North Indian",33 min,1925+ orders placed from here recently
102,Pure Veg Meals By LunchBox,4.0,₹200 for one,North Indian,24 min,75+ orders placed from here recently
103,Tandoor And Spice,4.0,₹150 for one,"North Indian, Chinese, Hyderabadi, Sichuan, Biryani",30 min,3125+ orders placed from here recently
104,Hotel Navayuga,4.3,₹150 for one,"Andhra, Biryani",48 min,4150+ orders placed from here recently
105,China Pearl,4.3,₹150 for one,"Chinese, North Indian, Seafood, Fast Food, Desserts, Beverages, Sichuan",43 min,4375+ orders placed from here recently
106,Hyderabadi Biryani Hub,3.8,₹150 for one,"Biryani, North Indian, Chinese, Mughlai, Beverages, Desserts",38 min,2775+ orders placed from here recently
107,India Sweet House,3.9,₹150 for one,"Mithai, Street Food",20 min,800+ orders placed from here recently
108,RR Vatika,3.7,₹150 for one,"Street Food, Chinese, Sandwich, North Indian, Desserts, Beverages",24 min,1000+ orders placed from here recently
109,Bombay Kulfis,3.3,₹150 for one,"Ice Cream, Desserts",24 min,75+ orders placed from here recently
110,Kalingas,4.0,₹150 for one,"North Indian, Odia, South Indian, Chinese, Fast Food, Street Food, Biryani",32 min,9700+ orders placed from here recently
111,NOTO - Healthy Ice Cream,4.1,₹150 for one,"Ice Cream, Mithai, Desserts",22 min,1225+ orders placed from here recently
112,Shiv Sagar Signature,4.1,₹150 for one,"Street Food, Fast Food, Continental, Chinese, Shake, Sichuan",24 min,3275+ orders placed from here recently
113,Udupi Upachar,3.8,₹150 for one,"South Indian, North Indian, Chinese, Street Food, Sandwich, Shake, Beverages, Ice Cream",26 min,625+ orders placed from here recently
